Drużyna,Punkty,Sezon
Lech,13,2002/03
Wisła Płock,16,2002/03
Górnik Łęczna,22,2003/04
Swit,4,2003/04
Polkowice,9,2003/04
Pogoń,15,2004/05
Zaglebie,19,2004/05
Cracovia,18,2004/05
Korona,17,2005/06
Belchatow,14,2005/06
Arka,13,2005/06
Widzew,15,2006/07
Lodzki KS,21,2006/07
Ruch,12,2007/08
Jagiellonia,18,2007/08
Polonia Bytom,14,2007/08
Sosnowiec,7,2007/08
Lechia,17,2008/09
Slask,21,2008/09
Piast,14,2008/09
Arka,15,2008/09
Zaglebie,12,2009/10
Korona,12,2009/10
Widzew,15,2010/11
Gornik,19,2010/11
Lodzki KS,14,2011/12
PBB,16,2011/12
Piast,18,2012/13
Pogoń,18,2012/13
Zawisza,16,2013/14
Cracovia,20,2013/14
Górnik Łęczna,15,2014/15
Belchatow,22,2014/15
Zaglebie,18,2015/16
Termalica,16,2015/16
Arka,18,2016/17
Wisła Płock,15,2016/17
Sandecja,17,2017/18
Gornik,23,2017/18
Miedź,12,2018/19
Sosnowiec,11,2018/19
Rakow,15,2019/20
Lodzki KS,11,2019/20
PBB,9,2020/21
Stal Mielec,10,2020/21
Warta,13,2020/21
Radomiak,19,2021/22
Termalica,10,2021/22
Górnik Łęczna,7,2021/22
Korona,12,2022/23
Widzew,23,2022/23
Miedź,7,2022/23
Puszcza,10,2023/24
Ruch,8,2023/24
Lodzki KS,7,2023/24